ano,idade,obitos,linhas_exposicao,exposicao_central,mx,qx
2012,20,45,99311,99311.0,0.00045,0.00045
2012,21,41,99268,99268.0,0.00042,0.00042
2012,22,44,99226,99226.0,0.00044,0.00044
2012,23,46,99181,99181.0,0.00046,0.00046
2012,24,46,99135,99135.0,0.00046,0.00046
2012,25,44,99090,99090.0,0.00044,0.00044
2012,26,52,99042,99042.0,0.00053,0.00053
2012,27,56,98988,98988.0,0.00057,0.00057
2012,28,48,98936,98936.0,0.00049,0.00049
2012,29,51,98886,98886.0,0.00052,0.00052
2012,30,52,98834,98834.0,0.00053,0.00053
2012,31,58,98779,98779.0,0.00059,0.00059
2012,32,65,98717,98717.0,0.00065,0.00065
2012,33,62,98654,98654.0,0.00063,0.00063
2012,34,72,98587,98587.0,0.00073,0.00073
2012,35,64,98519,98519.0,0.00065,0.00065
2012,36,74,98450,98450.0,0.00075,0.00075
2012,37,82,98372,98372.0,0.00083,0.00083
2012,38,93,98285,98285.0,0.00094,0.00094
2012,39,91,98193,98193.0,0.00093,0.00093
2012,40,113,98091,98091.0,0.00116,0.00115
2012,41,106,97981,97981.0,0.00108,0.00108
2012,42,113,97871,97871.0,0.00115,0.00115
2012,43,119,97755,97755.0,0.00122,0.00122
2012,44,141,97625,97625.0,0.00145,0.00145
2012,45,133,97488,97488.0,0.00137,0.00137
2012,46,143,97349,97349.0,0.00147,0.00147
2012,47,175,97191,97191.0,0.0018,0.00179
2012,48,192,97008,97008.0,0.00198,0.00197
2012,49,200,96812,96812.0,0.00207,0.00207
2012,50,228,96597,96597.0,0.00236,0.00236
2012,51,237,96365,96365.0,0.00246,0.00245
2012,52,254,96120,96120.0,0.00264,0.00263
2012,53,277,95855,95855.0,0.00289,0.00288
2012,54,292,95570,95570.0,0.00305,0.00305
2012,55,334,95257,95257.0,0.00351,0.0035
2012,56,360,94911,94911.0,0.00379,0.00378
2012,57,370,94545,94545.0,0.00392,0.00391
2012,58,404,94158,94158.0,0.00429,0.00428
2012,59,437,93738,93738.0,0.00466,0.00465
2012,60,470,93285,93285.0,0.00504,0.00503
2012,61,532,92783,92783.0,0.00574,0.00572
2012,62,569,92233,92233.0,0.00617,0.00615
2012,63,613,91642,91642.0,0.00669,0.00666
2012,64,696,90988,90988.0,0.00765,0.00762
2012,65,756,90262,90262.0,0.00837,0.00834
2012,66,805,89482,89482.0,0.009,0.00896
2012,67,856,88651,88651.0,0.00966,0.00961
2012,68,980,87733,87733.0,0.01117,0.01111
2012,69,1007,86739,86739.0,0.01161,0.01154
2012,70,1113,85679,85679.0,0.01299,0.0129
2013,20,43,99305,99305.0,0.00043,0.00043
2013,21,44,99262,99262.0,0.00044,0.00044
2013,22,38,99221,99221.0,0.00039,0.00039
2013,23,46,99179,99179.0,0.00046,0.00046
2013,24,28,99142,99142.0,0.00029,0.00029
2013,25,41,99107,99107.0,0.00041,0.00041
2013,26,49,99062,99062.0,0.0005,0.0005
2013,27,43,99016,99016.0,0.00043,0.00043
2013,28,49,98970,98970.0,0.00049,0.00049
2013,29,48,98922,98922.0,0.00049,0.00049
2013,30,54,98871,98871.0,0.00054,0.00054
2013,31,57,98816,98816.0,0.00058,0.00058
2013,32,63,98755,98755.0,0.00064,0.00064
2013,33,63,98693,98693.0,0.00063,0.00063
2013,34,63,98630,98630.0,0.00063,0.00063
2013,35,75,98561,98561.0,0.00076,0.00076
2013,36,79,98484,98484.0,0.0008,0.0008
2013,37,72,98409,98409.0,0.00073,0.00073
2013,38,85,98331,98331.0,0.00086,0.00086
2013,39,100,98238,98238.0,0.00102,0.00102
2013,40,99,98139,98139.0,0.00101,0.00101
2013,41,116,98031,98031.0,0.00118,0.00118
2013,42,118,97915,97915.0,0.0012,0.0012
2013,43,125,97793,97793.0,0.00128,0.00128
2013,44,123,97669,97669.0,0.00126,0.00126
2013,45,140,97538,97538.0,0.00143,0.00143
2013,46,152,97392,97392.0,0.00156,0.00156
2013,47,185,97224,97224.0,0.0019,0.0019
2013,48,197,97033,97033.0,0.00203,0.00203
2013,49,214,96827,96827.0,0.00221,0.00221
2013,50,225,96608,96608.0,0.00233,0.00232
2013,51,216,96387,96387.0,0.00224,0.00224
2013,52,265,96147,96147.0,0.00276,0.00275
2013,53,288,95870,95870.0,0.00301,0.003
2013,54,300,95576,95576.0,0.00314,0.00314
2013,55,333,95259,95259.0,0.00349,0.00349
2013,56,367,94910,94910.0,0.00386,0.00386
2013,57,407,94523,94523.0,0.00431,0.0043
2013,58,410,94114,94114.0,0.00436,0.00435
2013,59,431,93693,93693.0,0.0046,0.00459
2013,60,479,93238,93238.0,0.00514,0.00513
2013,61,511,92742,92742.0,0.00551,0.0055
2013,62,575,92199,92199.0,0.00623,0.00621
2013,63,628,91598,91598.0,0.00686,0.00684
2013,64,661,90953,90953.0,0.00726,0.00724
2013,65,751,90247,90247.0,0.00832,0.00829
2013,66,812,89466,89466.0,0.00907,0.00903
2013,67,834,88643,88643.0,0.00941,0.00937
2013,68,959,87746,87746.0,0.01092,0.01086
2013,69,1082,86726,86726.0,0.01248,0.0124
2013,70,1081,85644,85644.0,0.01262,0.01255
2014,20,40,99358,99358.0,0.0004,0.0004
2014,21,42,99317,99317.0,0.00042,0.00042
2014,22,37,99277,99277.0,0.00037,0.00037
2014,23,44,99237,99237.0,0.00044,0.00044
2014,24,41,99194,99194.0,0.00042,0.00042
2014,25,45,99151,99151.0,0.00045,0.00045
2014,26,47,99105,99105.0,0.00047,0.00047
2014,27,44,99059,99059.0,0.00045,0.00045
2014,28,42,99016,99016.0,0.00043,0.00043
2014,29,54,98968,98968.0,0.00055,0.00055
