ano_calendario,idade,coorte_nascimento,qx_projetado,improvement_anual_pct,improvement_acumulado_pct,modelo_origem
2021,20,2001,0.0004062,0.0,69.636,Baseline
2021,21,2000,0.0004009,0.0,71.4419,Baseline
2021,22,1999,0.0004121,0.0,71.4071,Baseline
2021,23,1998,0.0004149,0.0,71.7726,Baseline
2021,24,1997,0.0004671,0.0,68.8028,Baseline
2021,25,1996,0.0004351,0.0,71.5285,Baseline
2021,26,1995,0.0004495,0.0,71.1815,Baseline
2021,27,1994,0.0004439,0.0,72.0248,Baseline
2021,28,1993,0.0005012,0.0,68.8285,Baseline
2021,29,1992,0.0004962,0.0,69.4143,Baseline
2021,30,1991,0.0005348,0.0,67.2693,Baseline
2021,31,1990,0.0005175,0.0,68.5955,Baseline
2021,32,1989,0.0005895,0.0,64.6927,Baseline
2021,33,1988,0.0005759,0.0,66.1924,Baseline
2021,34,1987,0.0006545,0.0,62.647,Baseline
2021,35,1986,0.0006814,0.0,62.5111,Baseline
2021,36,1985,0.0007774,0.0,59.078,Baseline
2021,37,1984,0.0007851,0.0,60.7091,Baseline
2021,38,1983,0.0008437,0.0,60.0553,Baseline
2021,39,1982,0.0008926,0.0,60.1435,Baseline
2021,40,1981,0.0009588,0.0,59.7019,Baseline
2021,41,1980,0.0010234,0.0,59.5195,Baseline
2021,42,1979,0.0011548,0.0,56.996,Baseline
2021,43,1978,0.0012033,0.0,57.7733,Baseline
2021,44,1977,0.0013976,0.0,53.7625,Baseline
2021,45,1976,0.0015718,0.0,51.001,Baseline
2021,46,1975,0.0015757,0.0,53.7942,Baseline
2021,47,1974,0.0017179,0.0,52.754,Baseline
2021,48,1973,0.0018518,0.0,52.4051,Baseline
2021,49,1972,0.0020278,0.0,51.4737,Baseline
2021,50,1971,0.0021507,0.0,52.2316,Baseline
2021,51,1970,0.0023912,0.0,50.8178,Baseline
2021,52,1969,0.0024659,0.0,53.0872,Baseline
2021,53,1968,0.0027335,0.0,51.9032,Baseline
2021,54,1967,0.003064,0.0,50.0938,Baseline
2021,55,1966,0.0032219,0.0,51.3436,Baseline
2021,56,1965,0.0034412,0.0,51.7243,Baseline
2021,57,1964,0.0038962,0.0,49.1314,Baseline
2021,58,1963,0.004151,0.0,49.5161,Baseline
2021,59,1962,0.0045958,0.0,47.9688,Baseline
2021,60,1961,0.0049826,0.0,47.6276,Baseline
2021,61,1960,0.0052659,0.0,48.8627,Baseline
2021,62,1959,0.0056864,0.0,49.2741,Baseline
2021,63,1958,0.0063252,0.0,48.4413,Baseline
2021,64,1957,0.0066827,0.0,50.3622,Baseline
2021,65,1956,0.007149,0.0,51.5379,Baseline
2021,66,1955,0.0077738,0.0,51.6405,Baseline
2021,67,1954,0.008495,0.0,51.0644,Baseline
2021,68,1953,0.0092376,0.0,50.2561,Baseline
2021,69,1952,0.0101984,0.0,48.3185,Baseline
2021,70,1951,0.011523,0.0,44.9509,Baseline
2022,20,2002,0.0004038,69.8175,69.8175,Baseline
2022,21,2001,0.0004009,71.4419,71.4419,Baseline
2022,22,2000,0.0004121,71.4071,71.4071,Baseline
2022,23,1999,0.0004101,72.0972,72.0972,Baseline
2022,24,1998,0.0004671,68.8028,68.8028,Baseline
2022,25,1997,0.0004348,71.5465,71.5465,Baseline
2022,26,1996,0.0004442,71.5184,71.5184,Baseline
2022,27,1995,0.0004391,72.3294,72.3294,Baseline
2022,28,1994,0.0005012,68.8285,68.8285,Baseline
2022,29,1993,0.0004934,69.5822,69.5822,Baseline
2022,30,1992,0.0005346,67.2814,67.2814,Baseline
2022,31,1991,0.0005097,69.0685,69.0685,Baseline
2022,32,1990,0.0005827,65.0988,65.0988,Baseline
2022,33,1989,0.0005676,66.6806,66.6806,Baseline
2022,34,1988,0.0006472,63.0664,63.0664,Baseline
2022,35,1987,0.0006723,63.0123,63.0123,Baseline
2022,36,1986,0.0007726,59.3325,59.3325,Baseline
2022,37,1985,0.0007796,60.9884,60.9884,Baseline
2022,38,1984,0.0008331,60.5562,60.5562,Baseline
2022,39,1983,0.0008798,60.7166,60.7166,Baseline
2022,40,1982,0.0009429,60.3696,60.3696,Baseline
2022,41,1981,0.0010068,60.1761,60.1761,Baseline
2022,42,1980,0.0011465,57.3057,57.3057,Baseline
2022,43,1979,0.0011877,58.3214,58.3214,Baseline
2022,44,1978,0.0013966,53.7967,53.7967,Baseline
2022,45,1977,0.0015718,51.001,51.001,Baseline
2022,46,1976,0.0015715,53.9167,53.9167,Baseline
2022,47,1975,0.001704,53.1353,53.1353,Baseline
2022,48,1974,0.0018308,52.9429,52.9429,Baseline
2022,49,1973,0.002013,51.828,51.828,Baseline
2022,50,1972,0.0021326,52.6338,52.6338,Baseline
2022,51,1971,0.0023823,51.0003,51.0003,Baseline
